#freq[Hz]   abs[m/N]   phase[degree]
0.1   0.00510505391222   -171.996095272
0.100115195554   0.0050819919748   -172.013812249
0.100230523808   0.00505907037624   -172.031390233
0.100345984915   0.00503628809998   -172.048830448
0.100461579028   0.00501364414484   -172.066134112
0.1005773063   0.00499113752492   -172.083302437
0.100693166885   0.00496876726959   -172.100336635
0.100809160936   0.00494653242337   -172.117237909
0.100925288608   0.00492443204593   -172.134007463
0.101041550053   0.00490246521202   -172.150646496
0.101157945426   0.00488063101143   -172.167156205
0.101274474881   0.00485892854894   -172.183537786
0.101391138574   0.00483735694436   -172.199792432
0.101507936657   0.00481591533245   -172.215921337
0.101624869287   0.0047946028629   -172.231925694
0.101741936618   0.00477341870041   -172.247806695
0.101859138805   0.00475236202461   -172.263565535
0.101976476004   0.00473143203009   -172.279203408
0.102093948371   0.00471062792648   -172.29472151
0.10221155606   0.0046899489384   -172.310121042
0.102329299228   0.00466939430554   -172.325403204
0.102447178031   0.00464896328271   -172.340569204
0.102565192625   0.00462865513989   -172.355620249
0.102683343167   0.00460846916229   -172.370557556
0.102801629813   0.00458840465044   -172.385382345
0.102920052719   0.00456846092025   -172.400095842
0.103038612044   0.00454863730315   -172.414699281
0.103157307944   0.00452893314616   -172.429193902
0.103276140576   0.00450934781205   -172.443580957
0.103395110098   0.00448988067941   -172.457861703
0.103514216668   0.00447053114287   -172.472037411
0.103633460443   0.00445129861322   -172.486109359
0.103752841582   0.00443218251756   -172.500078841
0.103872360242   0.00441318229954   -172.513947161
0.103992016583   0.00439429741952   -172.527715637
0.104111810762   0.0043755273548   -172.541385602
0.104231742939   0.00435687159987   -172.554958407
0.104351813273   0.00433832966663   -172.568435416
0.104472021922   0.00431990108467   -172.581818014
0.104592369046   0.00430158540158   -172.595107604
0.104712854805   0.00428338218322   -172.608305608
0.104833479358   0.00426529101408   -172.621413473
0.104954242865   0.0042473114976   -172.634432667
0.105075145487   0.00422944325657   -172.647364681
0.105196187382   0.00421168593352   -172.660211034
0.105317368713   0.00419403919112   -172.672973273
0.105438689639   0.00417650271267   -172.685652972
0.105560150322   0.00415907620255   -172.698251735
0.105681750921   0.00414175938671   -172.710771201
