   1.0000000e-01   1.2022865e+00  -1.6837004e+02
   1.0069317e-01   1.1793707e+00  -1.6850661e+02
   1.0139114e-01   1.1573150e+00  -1.6863861e+02
   1.0209395e-01   1.1360794e+00  -1.6876627e+02
   1.0280163e-01   1.1156267e+00  -1.6888982e+02
   1.0351422e-01   1.0959219e+00  -1.6900947e+02
   1.0423174e-01   1.0769322e+00  -1.6912539e+02
   1.0495424e-01   1.0586271e+00  -1.6923778e+02
   1.0568175e-01   1.0409777e+00  -1.6934679e+02
   1.0641430e-01   1.0239570e+00  -1.6945261e+02
   1.0715193e-01   1.0075398e+00  -1.6955536e+02
   1.0789467e-01   9.9170217e-01  -1.6965521e+02
   1.0864256e-01   9.7642175e-01  -1.6975228e+02
   1.0939564e-01   9.6167753e-01  -1.6984670e+02
   1.1015393e-01   9.4744972e-01  -1.6993860e+02
   1.1091748e-01   9.3371973e-01  -1.7002809e+02
   1.1168632e-01   9.2047007e-01  -1.7011528e+02
   1.1246050e-01   9.0768429e-01  -1.7020027e+02
   1.1324004e-01   8.9534691e-01  -1.7028318e+02
   1.1402498e-01   8.8344338e-01  -1.7036408e+02
   1.1481536e-01   8.7196003e-01  -1.7044307e+02
   1.1561122e-01   8.6088400e-01  -1.7052025e+02
   1.1641260e-01   8.5020324e-01  -1.7059569e+02
   1.1721954e-01   8.3990643e-01  -1.7066947e+02
   1.1803206e-01   8.2998295e-01  -1.7074168e+02
   1.1885022e-01   8.2042288e-01  -1.7081238e+02
   1.1967405e-01   8.1121693e-01  -1.7088165e+02
   1.2050359e-01   8.0235645e-01  -1.7094956e+02
   1.2133889e-01   7.9383338e-01  -1.7101617e+02
   1.2217997e-01   7.8564024e-01  -1.7108155e+02
   1.2302688e-01   7.7777011e-01  -1.7114576e+02
   1.2387966e-01   7.7021660e-01  -1.7120887e+02
   1.2473835e-01   7.6297388e-01  -1.7127093e+02
   1.2560300e-01   7.5603662e-01  -1.7133201e+02
   1.2647363e-01   7.4939998e-01  -1.7139215e+02
   1.2735031e-01   7.4305965e-01  -1.7145142e+02
   1.2823306e-01   7.3701180e-01  -1.7150988e+02
   1.2912193e-01   7.3125310e-01  -1.7156757e+02
   1.3001696e-01   7.2578069e-01  -1.7162456e+02
   1.3091819e-01   7.2059224e-01  -1.7168089e+02
   1.3182567e-01   7.1568587e-01  -1.7173662e+02
