#freq[Hz]   abs[m/N]   phase[degree]
0.1   0.00107117872014   -0.00447383705158
0.100115195554   0.00107125702983   -0.00445861137976
0.100230523808   0.00107133552652   -0.00444350041871
0.100345984915   0.00107141421073   -0.00442850296101
0.100461579028   0.00107149308299   -0.00441361781557
0.1005773063   0.00107157214384   -0.00439884380649
0.100693166885   0.00107165139381   -0.00438417977228
0.100809160936   0.00107173083343   -0.0043696245673
0.100925288608   0.00107181046324   -0.00435517706026
0.101041550053   0.00107189028378   -0.00434083613379
0.101157945426   0.00107197029559   -0.00432660068541
0.101274474881   0.00107205049921   -0.00431246962611
0.101391138574   0.00107213089518   -0.00429844188072
0.101507936657   0.00107221148404   -0.00428451638731
0.101624869287   0.00107229226635   -0.00427069209785
0.101741936618   0.00107237324264   -0.00425696797611
0.101859138805   0.00107245441346   -0.00424334300022
0.101976476004   0.00107253577937   -0.00422981616
0.102093948371   0.00107261734091   -0.00421638645736
0.10221155606   0.00107269909864   -0.00420305290715
0.102329299228   0.00107278105311   -0.00418981453543
0.102447178031   0.00107286320488   -0.004176670381
0.102565192625   0.0010729455545   -0.00416361949332
0.102683343167   0.00107302810254   -0.00415066093338
0.102801629813   0.00107311084955   -0.00413779377394
0.102920052719   0.00107319379609   -0.00412501709792
0.103038612044   0.00107327694274   -0.00411232999968
0.103157307944   0.00107336029006   -0.00409973158372
0.103276140576   0.00107344383861   -0.00408722096545
0.103395110098   0.00107352758896   -0.00407479726998
0.103514216668   0.00107361154168   -0.0040624596328
0.103633460443   0.00107369569736   -0.00405020719892
0.103752841582   0.00107378005655   -0.00403803912366
0.103872360242   0.00107386461984   -0.00402595457142
0.103992016583   0.0010739493878   -0.00401395271603
0.104111810762   0.00107403436102   -0.00400203274055
0.104231742939   0.00107411954007   -0.00399019383687
0.104351813273   0.00107420492555   -0.00397843520596
0.104472021922   0.00107429051803   -0.00396675605706
0.104592369046   0.00107437631811   -0.00395515560795
0.104712854805   0.00107446232637   -0.00394363308588
0.104833479358   0.0010745485434   -0.0039321877244
0.104954242865   0.00107463496981   -0.00392081876622
0.105075145487   0.00107472160618   -0.0039095254618
0.105196187382   0.00107480845311   -0.00389830706859
0.105317368713   0.0010748955112   -0.00388716285226
0.105438689639   0.00107498278106   -0.00387609208563
0.105560150322   0.00107507026329   -0.00386509404837
0.105681750921   0.0010751579585   -0.0038541680277
0.1058034916   0.00107524586729   -0.00384331331695
0.105925372518   0.00107533399028   -0.00383252921649
0.106047393837   0.00107542232808   -0.0038218150338
0.10616955572   0.00107551088131   -0.00381117008166
0.106291858328   0.00107559965058   -0.00380059367911
0.106414301822   0.00107568863652   -0.00379008515213
0.106536886367   0.00107577783975   -0.00377964383181
0.106659612123   0.00107586726091   -0.00376926905492
0.106782479254   0.0010759569006   -0.00375896016346
0.106905487922   0.00107604675948   -0.00374871650556
0.107028638291   0.00107613683817   -0.00373853743386
0.107151930524   0.00107622713731   -0.00372842230583
0.107275364784   0.00107631765755   -0.00371837048449
0.107398941234   0.00107640839952   -0.00370838133643
0.107522660039   0.00107649936387   -0.00369845423318
0.107646521363   0.00107659055125   -0.00368858855024
0.107770525369   0.00107668196232   -0.00367878366772
0.107894672223   0.00107677359773   -0.00366903896859
0.108018962088   0.00107686545815   -0.00365935384029
0.10814339513   0.00107695754422   -0.00364972767305
0.108267971513   0.00107704985663   -0.00364015986043
0.108392691402   0.00107714239604   -0.00363064979919
0.108517554963   0.00107723516313   -0.00362119688845
0.108642562362   0.00107732815857   -0.00361180053018
0.108767713763   0.00107742138305   -0.00360246012804
0.108893009333   0.00107751483726   -0.00359317508872
0.109018449239   0.00107760852188   -0.00358394481944
0.109144033645   0.00107770243761   -0.0035747687297
0.109269762719   0.00107779658515   -0.00356564623001
0.109395636627   0.00107789096521   -0.00355657673178
0.109521655537   0.0010779855785   -0.00354755964709
0.109647819614   0.00107808042572   -0.00353859438824
0.109774129027   0.00107817550761   -0.00352968036787
0.109900583943   0.00107827082489   -0.00352081699774
0.11002718453   0.0010783663783   -0.00351200368962
0.110153930954   0.00107846216856   -0.00350323985391
0.110280823385   0.00107855819643   -0.00349452489944
0.11040786199   0.00107865446265   -0.00348585823322
0.110535046938   0.00107875096799   -0.00347723926089
0.110662378398   0.00107884771321   -0.0034686673844
0.110789856537   0.00107894469909   -0.00346014200336
0.110917481526   0.0010790419264   -0.00345166251313
0.111045253533   0.00107913939594   -0.00344322830593
0.111173172728   0.00107923710851   -0.00343483876892
0.11130123928   0.00107933506491   -0.00342649328388
0.111429453359   0.00107943326597   -0.00341819122738
0.111557815135   0.00107953171251   -0.00340993196965
0.111686324778   0.00107963040538   -0.00340171487385
0.111814982458   0.00107972934542   -0.00339353929574
0.111943788347   0.0010798285335   -0.0033854045827
0.112072742614   0.00107992797051   -0.00337731007366
0.11220184543   0.00108002765733   -0.00336925509654
0.112331096967   0.00108012759487   -0.00336123896986
0.112460497397   0.00108022778405   -0.00335326100065
0.112590046889   0.00108032822583   -0.00334532048335
0.112719745618   0.00108042892115   -0.00333741669894
0.112849593753   0.001080529871   -0.00332954891482
0.112979591467   0.00108063107637   -0.0033217163832
0.113109738933   0.0010807325383   -0.0033139183397
0.113240036324   0.00108083425784   -0.00330615400274
0.113370483811   0.00108093623606   -0.00329842257268
0.113501081567   0.00108103847406   -0.00329072323018
0.113631829767   0.00108114097298   -0.00328305513515
0.113762728582   0.001081243734   -0.00327541742554
0.113893778188   0.00108134675832   -0.00326780921666
0.114024978756   0.0010814500472   -0.00326022959963
