#freq[Hz]   abs[m/N]   phase[degree]
0.1   0.00223999042723   0.000995457951563
0.100115195554   0.00224011967303   0.000990442067582
0.100230523808   0.00224024923942   0.000985484989678
0.100345984915   0.00224037912716   0.000980586147405
0.100461579028   0.00224050933701   0.000975744978857
0.1005773063   0.00224063986973   0.000970960930943
0.100693166885   0.0022407707261   0.000966233459589
0.100809160936   0.00224090190688   0.000961562028695
0.100925288608   0.00224103341284   0.000956946110685
0.101041550053   0.00224116524476   0.000952385186544
0.101157945426   0.00224129740341   0.00094787874491
0.101274474881   0.00224142988957   0.000943426282808
0.101391138574   0.00224156270402   0.000939027305059
0.101507936657   0.00224169584754   0.000934681324351
0.101624869287   0.00224182932093   0.000930387860947
0.101741936618   0.00224196312496   0.000926146443153
0.101859138805   0.00224209726044   0.000921956606113
0.101976476004   0.00224223172815   0.000917817892799
0.102093948371   0.00224236652889   0.000913729853726
0.10221155606   0.00224250166346   0.000909692046224
0.102329299228   0.00224263713266   0.000905704035165
0.102447178031   0.0022427729373   0.000901765392023
0.102565192625   0.00224290907817   0.000897875695703
0.102683343167   0.00224304555609   0.000894034531964
0.102801629813   0.00224318237187   0.000890241493104
0.102920052719   0.00224331952632   0.000886496178589
0.103038612044   0.00224345702026   0.000882798194243
0.103157307944   0.0022435948545   0.000879147152764
0.103276140576   0.00224373302986   0.000875542673197
0.103395110098   0.00224387154718   0.000871984381322
0.103514216668   0.00224401040727   0.000868471909197
0.103633460443   0.00224414961096   0.000865004895434
0.103752841582   0.00224428915908   0.000861582984661
0.103872360242   0.00224442905246   0.000858205828068
0.103992016583   0.00224456929194   0.000854873082903
0.104111810762   0.00224470987836   0.000851584412717
0.104231742939   0.00224485081255   0.000848339487186
0.104351813273   0.00224499209535   0.000845137981959
0.104472021922   0.00224513372762   0.00084197957897
0.104592369046   0.0022452757102   0.000838863966179
0.104712854805   0.00224541804393   0.000835790836947
0.104833479358   0.00224556072967   0.00083275989147
0.104954242865   0.00224570376826   0.000829770835413
0.105075145487   0.00224584716058   0.000826823380358
0.105196187382   0.00224599090747   0.000823917244098
0.105317368713   0.00224613500979   0.000821052149989
0.105438689639   0.00224627946841   0.000818227827381
0.105560150322   0.00224642428418   0.000815444011598
0.105681750921   0.00224656945799   0.000812700443624
0.1058034916   0.00224671499069   0.000809996870707
0.105925372518   0.00224686088316   0.000807333045729
0.106047393837   0.00224700713627   0.000804708727193
0.10616955572   0.0022471537509   0.000802123680058
0.106291858328   0.00224730072791   0.000799577675194
0.106414301822   0.0022474480682   0.000797070488885
0.106536886367   0.00224759577265   0.000794601903867
0.106659612123   0.00224774384213   0.000792171708862
0.106782479254   0.00224789227753   0.000789779698792
0.106905487922   0.00224804107974   0.000787425674344
0.107028638291   0.00224819024965   0.000785109442655
0.107151930524   0.00224833978814   0.000782830817219
0.107275364784   0.00224848969612   0.000780589617468
0.107398941234   0.00224863997447   0.000778385669706
0.107522660039   0.0022487906241   0.000776218806569
0.107646521363   0.00224894164589   0.000774088867322
0.107770525369   0.00224909304075   0.000771995697671
0.107894672223   0.00224924480958   0.000769939150605
0.108018962088   0.00224939695329   0.0007679190857
0.10814339513   0.00224954947276   0.000765935369874
0.108267971513   0.00224970236892   0.00076398787725
0.108392691402   0.00224985564266   0.000762076489251
0.108517554963   0.00225000929489   0.000760201095142
0.108642562362   0.00225016332653   0.000758361591739
0.108767713763   0.00225031773847   0.000756557884237
0.108893009333   0.00225047253164   0.000754789885559
0.109018449239   0.00225062770693   0.000753057517713
0.109144033645   0.00225078326528   0.000751360711159
0.109269762719   0.00225093920757   0.000749699405499
0.109395636627   0.00225109553473   0.000748073549741
0.109521655537   0.00225125224768   0.000746483102659
0.109647819614   0.00225140934732   0.0007449280332
0.109774129027   0.00225156683456   0.00074340832066
0.109900583943   0.00225172471032   0.000741923955582
0.11002718453   0.00225188297552   0.000740474939596
0.110153930954   0.00225204163106   0.000739061286515
0.110280823385   0.00225220067785   0.000737683022687
0.11040786199   0.0022523601168   0.000736340187649
0.110535046938   0.00225251994883   0.000735032834244
0.110662378398   0.00225268017484   0.000733761030353
0.110789856537   0.00225284079573   0.00073252485873
0.110917481526   0.00225300181241   0.000731324418562
0.111045253533   0.00225316322577   0.00073015982561
0.111173172728   0.00225332503672   0.000729031213835
0.11130123928   0.00225348724615   0.000727938736445
0.111429453359   0.00225364985495   0.000726882566596
0.111557815135   0.002253812864   0.000725862899098
0.111686324778   0.0022539762742   0.000724879951671
0.111814982458   0.0022541400864   0.000723933966498
0.111943788347   0.00225430430149   0.000723025211893
0.112072742614   0.00225446892033   0.000722153983881
0.11220184543   0.00225463394378   0.000721320609132
0.112331096967   0.00225479937267   0.000720525445931
0.112460497397   0.00225496520787   0.000719768887173
0.112590046889   0.00225513145018   0.000719051363286
0.112719745618   0.00225529810044   0.000718373345079
0.112849593753   0.00225546515945   0.000717735346556
0.112979591467   0.00225563262801   0.000717137928915
0.113109738933   0.00225580050689   0.000716581704642
0.113240036324   0.00225596879686   0.00071606734179
0.113370483811   0.00225613749866   0.000715595568715
0.113501081567   0.00225630661303   0.00071516717989
0.113631829767   0.00225647614066   0.000714783041919
0.113762728582   0.00225664608224   0.000714444100468
0.113893778188   0.00225681643841   0.000714151387634
0.114024978756   0.00225698720982   0.000713906030818
0.114156330462   0.00225715839704   0.000713709262586
0.114287833479   0.00225733000063   0.000713562431138
0.114419487982   0.00225750202112   0.000713467012958
0.114551294145   0.00225767445898   0.000713424626849
0.114683252142   0.00225784731462   0.000713437049383
