# seg	start	stop	duration
3401	1230499970	1230504066	4096
3402	1230504066	1230508162	4096
3403	1230508162	1230512258	4096
3404	1230512258	1230516354	4096
3405	1230516354	1230520450	4096
3406	1230524546	1230528642	4096
3407	1230528642	1230532738	4096
3408	1230532738	1230536834	4096
3409	1230536834	1230540930	4096
3410	1230545026	1230549122	4096
3411	1230549122	1230553218	4096
3412	1230553218	1230557314	4096
3413	1230557314	1230561410	4096
3414	1230561410	1230565506	4096
3415	1230565506	1230569602	4096
3416	1230569602	1230573698	4096
3417	1230573698	1230577794	4096
3418	1230577794	1230581890	4096
3419	1230581890	1230585986	4096
3420	1230585986	1230590082	4096
3421	1230590082	1230594178	4096
3422	1230594178	1230598274	4096
3423	1230598274	1230602370	4096
3424	1230602370	1230606466	4096
3425	1230606466	1230610562	4096
3426	1230610562	1230614658	4096
3427	1230614658	1230618754	4096
3428	1230618754	1230622850	4096
3429	1230626946	1230631042	4096
3430	1230631042	1230635138	4096
3431	1230635138	1230639234	4096
3432	1230639234	1230643330	4096
3433	1230643330	1230647426	4096
3434	1230647426	1230651522	4096
3435	1230651522	1230655618	4096
3436	1230655618	1230659714	4096
3437	1230659714	1230663810	4096
3438	1230663810	1230667906	4096
3439	1230667906	1230672002	4096
3440	1230672002	1230676098	4096
3441	1230676098	1230680194	4096
3442	1230680194	1230684290	4096
3443	1230684290	1230688386	4096
3444	1230688386	1230692482	4096
3445	1230692482	1230696578	4096
3446	1230696578	1230700674	4096
3447	1230700674	1230704770	4096
3448	1230708866	1230712962	4096
3449	1230712962	1230717058	4096
3450	1230717058	1230721154	4096
3451	1230721154	1230725250	4096
3452	1230725250	1230729346	4096
3453	1230729346	1230733442	4096
3454	1230733442	1230737538	4096
3455	1230737538	1230741634	4096
3456	1230741634	1230745730	4096
3457	1230745730	1230749826	4096
3458	1230758018	1230762114	4096
3459	1230766210	1230770306	4096
3460	1230770306	1230774402	4096
3461	1230774402	1230778498	4096
3462	1230778498	1230782594	4096
3463	1230782594	1230786690	4096
3464	1230786690	1230790786	4096
