# seg	start	stop	duration
212	1240387714	1240391810	4096
213	1240391810	1240395906	4096
214	1240395906	1240400002	4096
215	1240400002	1240404098	4096
216	1240404098	1240408194	4096
217	1240408194	1240412290	4096
218	1240412290	1240416386	4096
219	1240416386	1240420482	4096
220	1240420482	1240424578	4096
221	1240424578	1240428674	4096
222	1240428674	1240432770	4096
223	1240432770	1240436866	4096
224	1240436866	1240440962	4096
225	1240440962	1240445058	4096
226	1240445058	1240449154	4096
227	1240449154	1240453250	4096
228	1240453250	1240457346	4096
229	1240457346	1240461442	4096
230	1240461442	1240465538	4096
231	1240465538	1240469634	4096
232	1240469634	1240473730	4096
233	1240473730	1240477826	4096
234	1240477826	1240481922	4096
235	1240481922	1240486018	4096
236	1240486018	1240490114	4096
237	1240490114	1240494210	4096
238	1240494210	1240498306	4096
239	1240498306	1240502402	4096
240	1240502402	1240506498	4096
241	1240506498	1240510594	4096
242	1240510594	1240514690	4096
243	1240514690	1240518786	4096
244	1240518786	1240522882	4096
245	1240522882	1240526978	4096
246	1240526978	1240531074	4096
247	1240531074	1240535170	4096
248	1240535170	1240539266	4096
249	1240539266	1240543362	4096
250	1240543362	1240547458	4096
251	1240547458	1240551554	4096
252	1240551554	1240555650	4096
253	1240555650	1240559746	4096
254	1240559746	1240563842	4096
255	1240563842	1240567938	4096
256	1240567938	1240572034	4096
257	1240572034	1240576130	4096
258	1240576130	1240580226	4096
259	1240580226	1240584322	4096
260	1240584322	1240588418	4096
261	1240588418	1240592514	4096
262	1240592514	1240596610	4096
