#Filename : asd_diff_gif.dat
#Date : 2018/07/20
#Author : K.Miyo
#
#Discription
#-----------
#Xend   	: displacement of the seismometer on the Xend 
#       	  2nd floar(EXV) with Xarm direction
#Center 	: displacement of the seismometer on the Center 
#       	  2nd floar(IXV) with Xarm direction
#GIF    	: strain of the Xarm 1500 m distance measured by 
#       	  GIF strainmeter
#diff_seis 	:= (Xend-Center)/sqrt(2)
#comm_seis 	:= (Xend+Center)/sqrt(2)
#diff_gif  	:= GIF*3000/sqrt(2)
#
#Data Information
#----------------
#Data Name         	: asd_diff_gif.dat
#Start [GPS Time]  	: 1214784018
#Time Lenght [sec] 	: 8192
#BW [Hz]           	: 7.8125e-03
#Window            	: Hanning
#Average           	: 64
#Overlap           	: 50% 
#Dof               	: 128
#
#
#Frequency[Hz],ASD [um/sqrtHz]
1.2031250e+00,1.0918311e-02
1.2109375e+00,9.7601656e-03
1.2187500e+00,1.0248475e-02
1.2265625e+00,1.0865894e-02
1.2343750e+00,1.1283860e-02
1.2421875e+00,1.1658997e-02
1.2500000e+00,1.1624992e-02
1.2578125e+00,1.1720055e-02
1.2656250e+00,1.1411278e-02
1.2734375e+00,1.1645759e-02
1.2812500e+00,1.2757940e-02
1.2890625e+00,1.2625845e-02
1.2968750e+00,1.1371433e-02
1.3046875e+00,1.2029303e-02
1.3125000e+00,1.2434310e-02
1.3203125e+00,1.1437582e-02
1.3281250e+00,1.0213143e-02
1.3359375e+00,1.0925245e-02
1.3437500e+00,1.2215696e-02
1.3515625e+00,1.2336147e-02
1.3593750e+00,1.1595261e-02
1.3671875e+00,1.1778972e-02
1.3750000e+00,1.1157607e-02
1.3828125e+00,1.0035290e-02
1.3906250e+00,1.0484334e-02
1.3984375e+00,1.0453300e-02
1.4062500e+00,1.0430726e-02
1.4140625e+00,1.0749777e-02
1.4218750e+00,1.0297389e-02
1.4296875e+00,9.8592178e-03
1.4375000e+00,9.8370467e-03
1.4453125e+00,9.7011073e-03
1.4531250e+00,9.5283659e-03
1.4609375e+00,9.8228597e-03
1.4687500e+00,1.0182206e-02
1.4765625e+00,1.0387938e-02
1.4843750e+00,1.0167296e-02
1.4921875e+00,1.0903686e-02
1.5000000e+00,1.1513454e-02
1.5078125e+00,1.0293753e-02
1.5156250e+00,1.0763999e-02
1.5234375e+00,1.1052257e-02
1.5312500e+00,1.1467680e-02
1.5390625e+00,1.1351874e-02
1.5468750e+00,1.2392685e-02
1.5546875e+00,1.1861550e-02
1.5625000e+00,9.9056518e-03
1.5703125e+00,1.0746185e-02
1.5781250e+00,1.1072083e-02
1.5859375e+00,1.0493251e-02
1.5937500e+00,1.1407382e-02
1.6015625e+00,1.1327413e-02
1.6093750e+00,1.0789395e-02
1.6171875e+00,1.1444044e-02
1.6250000e+00,1.1523325e-02
1.6328125e+00,1.0686448e-02
1.6406250e+00,9.2744520e-03
1.6484375e+00,1.0189401e-02
1.6562500e+00,1.0773007e-02
1.6640625e+00,1.0579956e-02
1.6718750e+00,9.6456398e-03
1.6796875e+00,1.0010293e-02
1.6875000e+00,1.1124394e-02
1.6953125e+00,1.1559394e-02
1.7031250e+00,1.1035167e-02
1.7109375e+00,1.0787245e-02
1.7187500e+00,1.0908639e-02
1.7265625e+00,1.1428736e-02
1.7343750e+00,1.1770765e-02
1.7421875e+00,1.1423850e-02
1.7500000e+00,1.2016200e-02
1.7578125e+00,1.1789364e-02
1.7656250e+00,1.1037632e-02
1.7734375e+00,1.1266564e-02
1.7812500e+00,1.0797508e-02
1.7890625e+00,1.0944277e-02
1.7968750e+00,1.2003555e-02
1.8046875e+00,1.1138784e-02
1.8125000e+00,1.1161310e-02
1.8203125e+00,1.2591907e-02
1.8281250e+00,1.2634259e-02
1.8359375e+00,1.1734371e-02
1.8437500e+00,1.1215090e-02
1.8515625e+00,1.2041419e-02
1.8593750e+00,1.2276856e-02
1.8671875e+00,1.1386556e-02
1.8750000e+00,1.2131692e-02
1.8828125e+00,1.2619918e-02
1.8906250e+00,1.1096166e-02
1.8984375e+00,1.1373892e-02
1.9062500e+00,1.1679890e-02
1.9140625e+00,1.0974272e-02
1.9218750e+00,1.0667103e-02
1.9296875e+00,1.0793608e-02
1.9375000e+00,1.1355491e-02
1.9453125e+00,1.1305925e-02
1.9531250e+00,1.1244540e-02
1.9609375e+00,1.2288840e-02
1.9687500e+00,1.1930214e-02
1.9765625e+00,1.1172031e-02
1.9843750e+00,1.1646568e-02
1.9921875e+00,1.2020989e-02
2.0000000e+00,1.2498621e-02
2.0078125e+00,1.1836182e-02
2.0156250e+00,1.2162294e-02
2.0234375e+00,1.1391804e-02
2.0312500e+00,1.1701222e-02
2.0390625e+00,1.3956955e-02
2.0468750e+00,1.3690769e-02
2.0546875e+00,1.1992447e-02
2.0625000e+00,1.2371625e-02
2.0703125e+00,1.2891007e-02
2.0781250e+00,1.2875616e-02
2.0859375e+00,1.2076226e-02
2.0937500e+00,1.1605565e-02
2.1015625e+00,1.1887388e-02
2.1093750e+00,1.1425239e-02
2.1171875e+00,1.1662244e-02
2.1250000e+00,1.2103390e-02
2.1328125e+00,1.1042752e-02
2.1406250e+00,1.1237189e-02
2.1484375e+00,1.1299665e-02
2.1562500e+00,1.1937537e-02
2.1640625e+00,1.2082957e-02
2.1718750e+00,1.2103630e-02
2.1796875e+00,1.1743481e-02
2.1875000e+00,1.1290910e-02
2.1953125e+00,1.2680683e-02
2.2031250e+00,1.2207396e-02
2.2109375e+00,1.1116306e-02
2.2187500e+00,1.1829787e-02
2.2265625e+00,1.2634181e-02
2.2343750e+00,1.2239841e-02
2.2421875e+00,1.2020931e-02
2.2500000e+00,1.2445759e-02
2.2578125e+00,1.1650099e-02
2.2656250e+00,1.2262860e-02
2.2734375e+00,1.2475903e-02
2.2812500e+00,1.1682122e-02
2.2890625e+00,1.1983907e-02
2.2968750e+00,1.3424988e-02
2.3046875e+00,1.2427858e-02
2.3125000e+00,1.1633470e-02
2.3203125e+00,1.2131338e-02
2.3281250e+00,1.3398621e-02
2.3359375e+00,1.3072040e-02
2.3437500e+00,1.2450356e-02
2.3515625e+00,1.3048129e-02
2.3593750e+00,1.3118667e-02
2.3671875e+00,1.3670958e-02
2.3750000e+00,1.4171161e-02
2.3828125e+00,1.4981916e-02
2.3906250e+00,1.4425117e-02
2.3984375e+00,1.4179305e-02
2.4062500e+00,1.3629475e-02
2.4140625e+00,1.2623887e-02
2.4218750e+00,1.3464805e-02
2.4296875e+00,1.4103617e-02
2.4375000e+00,1.4083498e-02
2.4453125e+00,1.3770933e-02
2.4531250e+00,1.3890003e-02
2.4609375e+00,1.4598743e-02
2.4687500e+00,1.4137341e-02
2.4765625e+00,1.4801891e-02
2.4843750e+00,1.5388203e-02
2.4921875e+00,1.4433908e-02
2.5000000e+00,1.3557688e-02
2.5078125e+00,1.3487631e-02
2.5156250e+00,1.2507474e-02
2.5234375e+00,1.4852978e-02
2.5312500e+00,1.5544673e-02
2.5390625e+00,1.3805036e-02
2.5468750e+00,1.2686794e-02
2.5546875e+00,1.2997397e-02
2.5625000e+00,1.3745741e-02
2.5703125e+00,1.4463974e-02
2.5781250e+00,1.3557613e-02
2.5859375e+00,1.3076266e-02
2.5937500e+00,1.1883473e-02
2.6015625e+00,1.2856058e-02
2.6093750e+00,1.3721146e-02
2.6171875e+00,1.3653569e-02
2.6250000e+00,1.4498401e-02
2.6328125e+00,1.5316659e-02
2.6406250e+00,1.5008924e-02
2.6484375e+00,1.4087810e-02
