# frequency[Hz], mag, phase[deg]
1.22988e+00 1.20320e-02 -1.76961e+02 
1.23988e+00 1.17212e-02 -1.77281e+02 
1.24988e+00 1.14210e-02 -1.77608e+02 
1.25988e+00 1.11284e-02 -1.77953e+02 
1.26987e+00 1.08404e-02 -1.78323e+02 
1.27987e+00 1.05538e-02 -1.78731e+02 
1.28987e+00 1.02643e-02 -1.79193e+02 
1.29987e+00 9.96611e-03 -1.79728e+02 
1.30987e+00 9.65049e-03 1.79635e+02 
1.31987e+00 9.30349e-03 1.78855e+02 
1.32987e+00 8.90043e-03 1.77877e+02 
1.33987e+00 8.39358e-03 1.76638e+02 
1.34987e+00 7.68111e-03 1.75168e+02 
1.35986e+00 6.53402e-03 1.74403e+02 
1.36986e+00 4.72213e-03 -1.76138e+02 
1.37986e+00 5.64813e-03 -1.39970e+02 
1.38986e+00 8.75780e-03 -1.46200e+02 
1.39986e+00 9.50630e-03 -1.56446e+02 
1.40986e+00 9.46673e-03 -1.62129e+02 
1.41986e+00 9.27366e-03 -1.65408e+02 
1.42986e+00 9.06023e-03 -1.67485e+02 
1.43986e+00 8.85454e-03 -1.68905e+02 
1.44986e+00 8.66164e-03 -1.69933e+02 
1.45985e+00 8.48116e-03 -1.70711e+02 
1.46985e+00 8.31164e-03 -1.71320e+02 
1.47985e+00 8.15155e-03 -1.71810e+02 
1.48985e+00 7.99962e-03 -1.72213e+02 
1.49985e+00 7.85476e-03 -1.72551e+02 
1.50985e+00 7.71614e-03 -1.72838e+02 
1.51985e+00 7.58305e-03 -1.73085e+02 
1.52985e+00 7.45494e-03 -1.73300e+02 
1.53985e+00 7.33135e-03 -1.73490e+02 
1.54985e+00 7.21188e-03 -1.73657e+02 
1.55984e+00 7.09621e-03 -1.73807e+02 
1.56984e+00 6.98407e-03 -1.73941e+02 
1.57984e+00 6.87521e-03 -1.74062e+02 
1.58984e+00 6.76943e-03 -1.74172e+02 
1.59984e+00 6.66654e-03 -1.74273e+02 
1.60984e+00 6.56639e-03 -1.74365e+02 
1.61984e+00 6.46882e-03 -1.74449e+02 
1.62984e+00 6.37371e-03 -1.74527e+02 
1.63984e+00 6.28095e-03 -1.74598e+02 
1.64984e+00 6.19042e-03 -1.74665e+02 
1.65983e+00 6.10203e-03 -1.74727e+02 
1.66983e+00 6.01568e-03 -1.74784e+02 
1.67983e+00 5.93130e-03 -1.74838e+02 
1.68983e+00 5.84881e-03 -1.74888e+02 
1.69983e+00 5.76814e-03 -1.74935e+02 
1.70983e+00 5.68922e-03 -1.74979e+02 
1.71983e+00 5.61198e-03 -1.75020e+02 
1.72983e+00 5.53637e-03 -1.75059e+02 
1.73983e+00 5.46234e-03 -1.75095e+02 
1.74983e+00 5.38983e-03 -1.75129e+02 
1.75982e+00 5.31879e-03 -1.75161e+02 
1.76982e+00 5.24918e-03 -1.75192e+02 
1.77982e+00 5.18095e-03 -1.75221e+02 
1.78982e+00 5.11406e-03 -1.75248e+02 
1.79982e+00 5.04847e-03 -1.75273e+02 
1.80982e+00 4.98414e-03 -1.75297e+02 
1.81982e+00 4.92103e-03 -1.75320e+02 
1.82982e+00 4.85912e-03 -1.75342e+02 
1.83982e+00 4.79836e-03 -1.75362e+02 
1.84982e+00 4.73873e-03 -1.75381e+02 
1.85981e+00 4.68019e-03 -1.75400e+02 
1.86981e+00 4.62271e-03 -1.75417e+02 
1.87981e+00 4.56628e-03 -1.75433e+02 
1.88981e+00 4.51085e-03 -1.75449e+02 
1.89981e+00 4.45640e-03 -1.75463e+02 
1.90981e+00 4.40292e-03 -1.75477e+02 
1.91981e+00 4.35036e-03 -1.75490e+02 
1.92981e+00 4.29872e-03 -1.75502e+02 
1.93981e+00 4.24797e-03 -1.75513e+02 
1.94981e+00 4.19808e-03 -1.75524e+02 
1.95981e+00 4.14904e-03 -1.75534e+02 
1.96980e+00 4.10082e-03 -1.75544e+02 
1.97980e+00 4.05340e-03 -1.75553e+02 
1.98980e+00 4.00678e-03 -1.75561e+02 
1.99980e+00 3.96092e-03 -1.75569e+02 
2.00980e+00 3.91581e-03 -1.75576e+02 
2.01980e+00 3.87143e-03 -1.75583e+02 
2.02980e+00 3.82777e-03 -1.75589e+02 
2.03980e+00 3.78481e-03 -1.75595e+02 
2.04980e+00 3.74254e-03 -1.75600e+02 
2.05979e+00 3.70093e-03 -1.75605e+02 
2.06979e+00 3.65998e-03 -1.75610e+02 
2.07979e+00 3.61966e-03 -1.75614e+02 
2.08979e+00 3.57998e-03 -1.75617e+02 
2.09979e+00 3.54090e-03 -1.75621e+02 
2.10979e+00 3.50243e-03 -1.75624e+02 
2.11979e+00 3.46454e-03 -1.75626e+02 
2.12979e+00 3.42723e-03 -1.75628e+02 
2.13979e+00 3.39048e-03 -1.75630e+02 
2.14979e+00 3.35428e-03 -1.75632e+02 
2.15978e+00 3.31861e-03 -1.75633e+02 
2.16978e+00 3.28348e-03 -1.75634e+02 
2.17978e+00 3.24887e-03 -1.75634e+02 
2.18978e+00 3.21476e-03 -1.75635e+02 
2.19978e+00 3.18115e-03 -1.75635e+02 
2.20978e+00 3.14802e-03 -1.75634e+02 
2.21978e+00 3.11538e-03 -1.75634e+02 
2.22978e+00 3.08320e-03 -1.75633e+02 
2.23978e+00 3.05148e-03 -1.75632e+02 
2.24978e+00 3.02020e-03 -1.75630e+02 
2.25977e+00 2.98937e-03 -1.75629e+02 
2.26977e+00 2.95898e-03 -1.75627e+02 
2.27977e+00 2.92900e-03 -1.75625e+02 
2.28977e+00 2.89945e-03 -1.75622e+02 
2.29977e+00 2.87030e-03 -1.75620e+02 
2.30977e+00 2.84155e-03 -1.75617e+02 
2.31977e+00 2.81319e-03 -1.75614e+02 
2.32977e+00 2.78522e-03 -1.75611e+02 
2.33977e+00 2.75763e-03 -1.75607e+02 
2.34977e+00 2.73041e-03 -1.75604e+02 
2.35976e+00 2.70356e-03 -1.75600e+02 
2.36976e+00 2.67706e-03 -1.75596e+02 
2.37976e+00 2.65091e-03 -1.75592e+02 
2.38976e+00 2.62511e-03 -1.75587e+02 
2.39976e+00 2.59965e-03 -1.75583e+02 
2.40976e+00 2.57453e-03 -1.75578e+02 
2.41976e+00 2.54972e-03 -1.75573e+02 
2.42976e+00 2.52525e-03 -1.75568e+02 
2.43976e+00 2.50108e-03 -1.75562e+02 
2.44976e+00 2.47723e-03 -1.75557e+02 
2.45975e+00 2.45368e-03 -1.75551e+02 
2.46975e+00 2.43043e-03 -1.75545e+02 
2.47975e+00 2.40748e-03 -1.75539e+02 
2.48975e+00 2.38481e-03 -1.75533e+02 
2.49975e+00 2.36243e-03 -1.75527e+02 
2.50975e+00 2.34033e-03 -1.75520e+02 
2.51975e+00 2.31850e-03 -1.75513e+02 
2.52975e+00 2.29695e-03 -1.75506e+02 
2.53975e+00 2.27566e-03 -1.75499e+02 
2.54975e+00 2.25463e-03 -1.75492e+02 
2.55974e+00 2.23386e-03 -1.75485e+02 
2.56974e+00 2.21334e-03 -1.75478e+02 
2.57974e+00 2.19307e-03 -1.75470e+02 
2.58974e+00 2.17304e-03 -1.75462e+02 
2.59974e+00 2.15325e-03 -1.75454e+02 
2.60974e+00 2.13370e-03 -1.75446e+02 
2.61974e+00 2.11439e-03 -1.75438e+02 
2.62974e+00 2.09530e-03 -1.75430e+02 
2.63974e+00 2.07644e-03 -1.75421e+02 
2.64974e+00 2.05780e-03 -1.75413e+02 
2.65973e+00 2.03938e-03 -1.75404e+02 
2.66973e+00 2.02117e-03 -1.75395e+02 
2.67973e+00 2.00317e-03 -1.75386e+02 
2.68973e+00 1.98539e-03 -1.75377e+02 
2.69973e+00 1.96780e-03 -1.75367e+02 
2.70973e+00 1.95042e-03 -1.75358e+02 
2.71973e+00 1.93324e-03 -1.75348e+02 
2.72973e+00 1.91625e-03 -1.75339e+02 
2.73973e+00 1.89946e-03 -1.75329e+02 
2.74973e+00 1.88286e-03 -1.75319e+02 
2.75972e+00 1.86644e-03 -1.75309e+02 
2.76972e+00 1.85020e-03 -1.75299e+02 
2.77972e+00 1.83415e-03 -1.75288e+02 
2.78972e+00 1.81828e-03 -1.75278e+02 
2.79972e+00 1.80258e-03 -1.75267e+02 
2.80972e+00 1.78706e-03 -1.75257e+02 
2.81972e+00 1.77170e-03 -1.75246e+02 
2.82972e+00 1.75651e-03 -1.75235e+02 
2.83972e+00 1.74149e-03 -1.75224e+02 
2.84972e+00 1.72664e-03 -1.75213e+02 
2.85971e+00 1.71194e-03 -1.75201e+02 
2.86971e+00 1.69740e-03 -1.75190e+02 
2.87971e+00 1.68302e-03 -1.75178e+02 
2.88971e+00 1.66879e-03 -1.75167e+02 
2.89971e+00 1.65471e-03 -1.75155e+02 
2.90971e+00 1.64079e-03 -1.75143e+02 
2.91971e+00 1.62701e-03 -1.75131e+02 
2.92971e+00 1.61337e-03 -1.75119e+02 
2.93971e+00 1.59988e-03 -1.75106e+02 
2.94971e+00 1.58653e-03 -1.75094e+02 
2.95970e+00 1.57332e-03 -1.75081e+02 
2.96970e+00 1.56025e-03 -1.75069e+02 
2.97970e+00 1.54731e-03 -1.75056e+02 
2.98970e+00 1.53451e-03 -1.75043e+02 
2.99970e+00 1.52183e-03 -1.75030e+02 
3.00970e+00 1.50929e-03 -1.75017e+02 
3.01970e+00 1.49688e-03 -1.75004e+02 
