#Frequency[Hz] NS_woA  WE_woA  Z_woA NS_wA WE_wA Z_wA            
0.4609375 5.56372E-08 6.72187E-08 1.06664E-07 6.72784E-08 9.335E-08 9.14188E-08
0.46875 7.32631E-08 9.9995E-08  1.03779E-07 4.03281E-08 8.32903E-08 6.2091E-08
0.4765625 1.17025E-07 1.04475E-07 9.83513E-08 4.54565E-08 3.81038E-08 6.81806E-08
0.484375  8.2824E-08  7.50418E-08 9.58123E-08 6.19944E-08 5.63069E-08 5.35463E-08
0.4921875 5.58184E-08 3.58729E-08 7.10748E-08 5.33467E-08 5.626E-08 4.40921E-08
0.5 6.88859E-08 5.28642E-08 6.05764E-08 4.81791E-08 4.89405E-08 3.18239E-08
0.5078125 6.92058E-08 5.90666E-08 6.91115E-08 3.76736E-08 5.51937E-08 3.9478E-08
0.515625  4.06204E-08 4.17155E-08 6.16921E-08 3.50297E-08 4.29148E-08 4.89734E-08
0.5234375 3.008E-08 2.72689E-08 4.14217E-08 3.15E-08  3.97676E-08 4.76803E-08
0.53125 3.65972E-08 3.02665E-08 3.87142E-08 2.24694E-08 4.41433E-08 5.01449E-08
0.5390625 2.96453E-08 3.48701E-08 3.75697E-08 2.88051E-08 3.53802E-08 3.12329E-08
0.546875  2.94895E-08 4.38207E-08 4.1547E-08  2.97223E-08 2.58525E-08 2.78197E-08
0.5546875 3.78276E-08 3.21855E-08 3.94929E-08 3.20166E-08 2.59663E-08 3.22301E-08
0.5625  3.4832E-08  1.78525E-08 3.55592E-08 1.99293E-08 2.81328E-08 2.66031E-08
0.5703125 1.66564E-08 2.13837E-08 1.84023E-08 1.98699E-08 2.77398E-08 1.89301E-08
0.578125  1.642E-08 2.46116E-08 2.62882E-08 2.47374E-08 2.27599E-08 3.03152E-08
0.5859375 1.08272E-08 2.29107E-08 3.07039E-08 2.17165E-08 2.37258E-08 3.48964E-08
0.59375 1.7076E-08  3.563E-08 3.44529E-08 1.73744E-08 2.58889E-08 2.66313E-08
0.6015625 2.06173E-08 2.98305E-08 1.75027E-08 1.35378E-08 2.31973E-08 1.39573E-08
0.609375  2.62384E-08 2.9271E-08  2.28497E-08 1.30914E-08 1.99304E-08 2.34559E-08
0.6171875 1.68189E-08 2.44559E-08 3.02349E-08 2.02867E-08 1.75319E-08 2.47442E-08
0.625 1.7008E-08  1.6112E-08  2.38671E-08 2.41353E-08 2.19815E-08 2.26039E-08
0.6328125 2.09895E-08 1.28506E-08 2.96501E-08 2.22905E-08 2.23566E-08 2.07653E-08
0.640625  2.21682E-08 1.71381E-08 2.70216E-08 1.71435E-08 1.73228E-08 2.59081E-08
0.6484375 2.63307E-08 2.36715E-08 2.1225E-08  1.97953E-08 1.86741E-08 1.49992E-08
0.65625 2.01872E-08 2.59988E-08 1.4727E-08  1.76763E-08 1.6468E-08  1.39916E-08
