# frequency[Hz], mag, phase[deg]
1.22988e+00 9.13671e-03 -1.77259e+02 
1.23988e+00 8.47395e-03 -1.73150e+02 
1.24988e+00 8.11587e-03 -1.66569e+02 
1.25988e+00 8.41213e-03 -1.59333e+02 
1.26987e+00 9.32661e-03 -1.56067e+02 
1.27987e+00 1.01583e-02 -1.57940e+02 
1.28987e+00 1.03952e-02 -1.61849e+02 
1.29987e+00 1.00965e-02 -1.65300e+02 
1.30987e+00 9.47716e-03 -1.67352e+02 
1.31987e+00 8.68836e-03 -1.67493e+02 
1.32987e+00 7.85864e-03 -1.64819e+02 
1.33987e+00 7.23579e-03 -1.57966e+02 
1.34987e+00 7.30992e-03 -1.47556e+02 
1.35986e+00 8.41883e-03 -1.39852e+02 
1.36986e+00 1.00197e-02 -1.39509e+02 
1.37986e+00 1.12529e-02 -1.43867e+02 
1.38986e+00 1.18449e-02 -1.49196e+02 
1.39986e+00 1.19703e-02 -1.53846e+02 
1.40986e+00 1.18481e-02 -1.57519e+02 
1.41986e+00 1.16150e-02 -1.60356e+02 
1.42986e+00 1.13400e-02 -1.62558e+02 
1.43986e+00 1.10556e-02 -1.64292e+02 
1.44986e+00 1.07762e-02 -1.65683e+02 
1.45985e+00 1.05077e-02 -1.66817e+02 
1.46985e+00 1.02523e-02 -1.67756e+02 
1.47985e+00 1.00102e-02 -1.68545e+02 
1.48985e+00 9.78086e-03 -1.69215e+02 
1.49985e+00 9.56341e-03 -1.69792e+02 
1.50985e+00 9.35690e-03 -1.70292e+02 
1.51985e+00 9.16041e-03 -1.70731e+02 
1.52985e+00 8.97308e-03 -1.71117e+02 
1.53985e+00 8.79413e-03 -1.71460e+02 
1.54985e+00 8.62285e-03 -1.71767e+02 
1.55984e+00 8.45862e-03 -1.72043e+02 
1.56984e+00 8.30089e-03 -1.72291e+02 
1.57984e+00 8.14917e-03 -1.72517e+02 
1.58984e+00 8.00302e-03 -1.72722e+02 
1.59984e+00 7.86204e-03 -1.72910e+02 
1.60984e+00 7.72591e-03 -1.73082e+02 
1.61984e+00 7.59429e-03 -1.73240e+02 
1.62984e+00 7.46691e-03 -1.73386e+02 
1.63984e+00 7.34351e-03 -1.73521e+02 
1.64984e+00 7.22387e-03 -1.73647e+02 
1.65983e+00 7.10778e-03 -1.73763e+02 
1.66983e+00 6.99504e-03 -1.73871e+02 
1.67983e+00 6.88548e-03 -1.73972e+02 
1.68983e+00 6.77895e-03 -1.74066e+02 
1.69983e+00 6.67529e-03 -1.74154e+02 
1.70983e+00 6.57436e-03 -1.74237e+02 
1.71983e+00 6.47605e-03 -1.74315e+02 
1.72983e+00 6.38024e-03 -1.74387e+02 
1.73983e+00 6.28681e-03 -1.74456e+02 
1.74983e+00 6.19567e-03 -1.74520e+02 
1.75982e+00 6.10673e-03 -1.74581e+02 
1.76982e+00 6.01988e-03 -1.74639e+02 
1.77982e+00 5.93507e-03 -1.74693e+02 
1.78982e+00 5.85219e-03 -1.74744e+02 
1.79982e+00 5.77119e-03 -1.74792e+02 
1.80982e+00 5.69199e-03 -1.74838e+02 
1.81982e+00 5.61453e-03 -1.74882e+02 
1.82982e+00 5.53875e-03 -1.74923e+02 
1.83982e+00 5.46459e-03 -1.74962e+02 
1.84982e+00 5.39199e-03 -1.74999e+02 
1.85981e+00 5.32091e-03 -1.75034e+02 
1.86981e+00 5.25129e-03 -1.75067e+02 
1.87981e+00 5.18309e-03 -1.75098e+02 
1.88981e+00 5.11626e-03 -1.75128e+02 
1.89981e+00 5.05076e-03 -1.75157e+02 
1.90981e+00 4.98654e-03 -1.75184e+02 
1.91981e+00 4.92358e-03 -1.75209e+02 
1.92981e+00 4.86183e-03 -1.75234e+02 
1.93981e+00 4.80126e-03 -1.75257e+02 
1.94981e+00 4.74183e-03 -1.75279e+02 
1.95981e+00 4.68351e-03 -1.75299e+02 
1.96980e+00 4.62627e-03 -1.75319e+02 
1.97980e+00 4.57009e-03 -1.75338e+02 
1.98980e+00 4.51492e-03 -1.75356e+02 
1.99980e+00 4.46075e-03 -1.75372e+02 
2.00980e+00 4.40754e-03 -1.75388e+02 
2.01980e+00 4.35528e-03 -1.75404e+02 
2.02980e+00 4.30393e-03 -1.75418e+02 
2.03980e+00 4.25348e-03 -1.75431e+02 
2.04980e+00 4.20390e-03 -1.75444e+02 
2.05979e+00 4.15517e-03 -1.75456e+02 
2.06979e+00 4.10726e-03 -1.75467e+02 
2.07979e+00 4.06016e-03 -1.75478e+02 
2.08979e+00 4.01385e-03 -1.75488e+02 
2.09979e+00 3.96831e-03 -1.75497e+02 
2.10979e+00 3.92352e-03 -1.75506e+02 
2.11979e+00 3.87946e-03 -1.75515e+02 
2.12979e+00 3.83612e-03 -1.75522e+02 
2.13979e+00 3.79347e-03 -1.75529e+02 
2.14979e+00 3.75151e-03 -1.75536e+02 
2.15978e+00 3.71021e-03 -1.75542e+02 
2.16978e+00 3.66957e-03 -1.75548e+02 
2.17978e+00 3.62956e-03 -1.75553e+02 
2.18978e+00 3.59018e-03 -1.75558e+02 
2.19978e+00 3.55140e-03 -1.75562e+02 
2.20978e+00 3.51322e-03 -1.75566e+02 
2.21978e+00 3.47562e-03 -1.75569e+02 
2.22978e+00 3.43859e-03 -1.75572e+02 
2.23978e+00 3.40212e-03 -1.75575e+02 
2.24978e+00 3.36620e-03 -1.75577e+02 
2.25977e+00 3.33081e-03 -1.75579e+02 
2.26977e+00 3.29595e-03 -1.75581e+02 
2.27977e+00 3.26159e-03 -1.75582e+02 
2.28977e+00 3.22774e-03 -1.75583e+02 
2.29977e+00 3.19438e-03 -1.75584e+02 
2.30977e+00 3.16150e-03 -1.75584e+02 
2.31977e+00 3.12910e-03 -1.75584e+02 
2.32977e+00 3.09715e-03 -1.75583e+02 
2.33977e+00 3.06566e-03 -1.75583e+02 
2.34977e+00 3.03461e-03 -1.75582e+02 
2.35976e+00 3.00400e-03 -1.75580e+02 
2.36976e+00 2.97382e-03 -1.75579e+02 
2.37976e+00 2.94405e-03 -1.75577e+02 
2.38976e+00 2.91470e-03 -1.75575e+02 
2.39976e+00 2.88575e-03 -1.75573e+02 
2.40976e+00 2.85719e-03 -1.75570e+02 
2.41976e+00 2.82902e-03 -1.75567e+02 
2.42976e+00 2.80123e-03 -1.75564e+02 
2.43976e+00 2.77382e-03 -1.75561e+02 
2.44976e+00 2.74677e-03 -1.75557e+02 
2.45975e+00 2.72008e-03 -1.75553e+02 
2.46975e+00 2.69374e-03 -1.75549e+02 
2.47975e+00 2.66775e-03 -1.75545e+02 
2.48975e+00 2.64210e-03 -1.75541e+02 
2.49975e+00 2.61678e-03 -1.75536e+02 
2.50975e+00 2.59179e-03 -1.75531e+02 
2.51975e+00 2.56713e-03 -1.75526e+02 
2.52975e+00 2.54278e-03 -1.75521e+02 
2.53975e+00 2.51874e-03 -1.75515e+02 
2.54975e+00 2.49501e-03 -1.75510e+02 
2.55974e+00 2.47157e-03 -1.75504e+02 
2.56974e+00 2.44844e-03 -1.75498e+02 
2.57974e+00 2.42559e-03 -1.75491e+02 
2.58974e+00 2.40302e-03 -1.75485e+02 
2.59974e+00 2.38074e-03 -1.75478e+02 
2.60974e+00 2.35873e-03 -1.75472e+02 
2.61974e+00 2.33699e-03 -1.75465e+02 
2.62974e+00 2.31552e-03 -1.75457e+02 
2.63974e+00 2.29431e-03 -1.75450e+02 
2.64974e+00 2.27336e-03 -1.75443e+02 
2.65973e+00 2.25266e-03 -1.75435e+02 
2.66973e+00 2.23221e-03 -1.75427e+02 
2.67973e+00 2.21200e-03 -1.75419e+02 
2.68973e+00 2.19203e-03 -1.75411e+02 
2.69973e+00 2.17231e-03 -1.75403e+02 
2.70973e+00 2.15281e-03 -1.75394e+02 
2.71973e+00 2.13354e-03 -1.75386e+02 
2.72973e+00 2.11450e-03 -1.75377e+02 
2.73973e+00 2.09568e-03 -1.75368e+02 
2.74973e+00 2.07708e-03 -1.75359e+02 
2.75972e+00 2.05869e-03 -1.75349e+02 
2.76972e+00 2.04052e-03 -1.75340e+02 
2.77972e+00 2.02255e-03 -1.75331e+02 
2.78972e+00 2.00479e-03 -1.75321e+02 
2.79972e+00 1.98723e-03 -1.75311e+02 
2.80972e+00 1.96987e-03 -1.75301e+02 
2.81972e+00 1.95270e-03 -1.75291e+02 
2.82972e+00 1.93573e-03 -1.75281e+02 
2.83972e+00 1.91895e-03 -1.75270e+02 
2.84972e+00 1.90235e-03 -1.75260e+02 
2.85971e+00 1.88594e-03 -1.75249e+02 
2.86971e+00 1.86971e-03 -1.75238e+02 
2.87971e+00 1.85365e-03 -1.75227e+02 
2.88971e+00 1.83778e-03 -1.75216e+02 
2.89971e+00 1.82207e-03 -1.75205e+02 
2.90971e+00 1.80654e-03 -1.75194e+02 
2.91971e+00 1.79118e-03 -1.75182e+02 
2.92971e+00 1.77598e-03 -1.75170e+02 
2.93971e+00 1.76094e-03 -1.75159e+02 
2.94971e+00 1.74607e-03 -1.75147e+02 
2.95970e+00 1.73135e-03 -1.75135e+02 
2.96970e+00 1.71679e-03 -1.75123e+02 
2.97970e+00 1.70238e-03 -1.75110e+02 
2.98970e+00 1.68813e-03 -1.75098e+02 
2.99970e+00 1.67403e-03 -1.75085e+02 
3.00970e+00 1.66007e-03 -1.75073e+02 
3.01970e+00 1.64626e-03 -1.75060e+02 
3.02970e+00 1.63259e-03 -1.75047e+02 
3.03970e+00 1.61906e-03 -1.75034e+02 
3.04970e+00 1.60568e-03 -1.75020e+02 
3.05969e+00 1.59243e-03 -1.75007e+02 
3.06969e+00 1.57931e-03 -1.74994e+02 
3.07969e+00 1.56633e-03 -1.74980e+02 
3.08969e+00 1.55348e-03 -1.74966e+02 
3.09969e+00 1.54076e-03 -1.74953e+02 
3.10969e+00 1.52817e-03 -1.74939e+02 
3.11969e+00 1.51571e-03 -1.74924e+02 
3.12969e+00 1.50337e-03 -1.74910e+02 
3.13969e+00 1.49116e-03 -1.74896e+02 
3.14969e+00 1.47906e-03 -1.74881e+02 
3.15968e+00 1.46709e-03 -1.74867e+02 
3.16968e+00 1.45523e-03 -1.74852e+02 
3.17968e+00 1.44349e-03 -1.74837e+02 
3.18968e+00 1.43187e-03 -1.74822e+02 
3.19968e+00 1.42035e-03 -1.74807e+02 
3.20968e+00 1.40896e-03 -1.74792e+02 
3.21968e+00 1.39767e-03 -1.74776e+02 
3.22968e+00 1.38649e-03 -1.74761e+02 
3.23968e+00 1.37542e-03 -1.74745e+02 
3.24968e+00 1.36445e-03 -1.74730e+02 
3.25967e+00 1.35359e-03 -1.74714e+02 
3.26967e+00 1.34284e-03 -1.74698e+02 
3.27967e+00 1.33218e-03 -1.74681e+02 
3.28967e+00 1.32163e-03 -1.74665e+02 
3.29967e+00 1.31118e-03 -1.74649e+02 
3.30967e+00 1.30082e-03 -1.74632e+02 
3.31967e+00 1.29056e-03 -1.74616e+02 
3.32967e+00 1.28040e-03 -1.74599e+02 
3.33967e+00 1.27033e-03 -1.74582e+02 
3.34967e+00 1.26036e-03 -1.74565e+02 
3.35967e+00 1.25048e-03 -1.74548e+02 
3.36966e+00 1.24069e-03 -1.74530e+02 
3.37966e+00 1.23099e-03 -1.74513e+02 
3.38966e+00 1.22138e-03 -1.74495e+02 
3.39966e+00 1.21186e-03 -1.74478e+02 
3.40966e+00 1.20242e-03 -1.74460e+02 
3.41966e+00 1.19307e-03 -1.74442e+02 
3.42966e+00 1.18381e-03 -1.74424e+02 
3.43966e+00 1.17462e-03 -1.74406e+02 
3.44966e+00 1.16552e-03 -1.74387e+02 
3.45965e+00 1.15651e-03 -1.74369e+02 
3.46965e+00 1.14757e-03 -1.74350e+02 
3.47965e+00 1.13871e-03 -1.74331e+02 
3.48965e+00 1.12993e-03 -1.74312e+02 
3.49965e+00 1.12123e-03 -1.74293e+02 
3.50965e+00 1.11261e-03 -1.74274e+02 
3.51965e+00 1.10406e-03 -1.74255e+02 
3.52965e+00 1.09559e-03 -1.74235e+02 
3.53965e+00 1.08719e-03 -1.74216e+02 
3.54965e+00 1.07887e-03 -1.74196e+02 
3.55964e+00 1.07061e-03 -1.74176e+02 
3.56964e+00 1.06243e-03 -1.74156e+02 
3.57964e+00 1.05432e-03 -1.74136e+02 
3.58964e+00 1.04628e-03 -1.74116e+02 
3.59964e+00 1.03831e-03 -1.74095e+02 
3.60964e+00 1.03041e-03 -1.74074e+02 
3.61964e+00 1.02258e-03 -1.74054e+02 
3.62964e+00 1.01481e-03 -1.74033e+02 
3.63964e+00 1.00710e-03 -1.74012e+02 
3.64964e+00 9.99468e-04 -1.73991e+02 
3.65963e+00 9.91896e-04 -1.73969e+02 
3.66963e+00 9.84387e-04 -1.73948e+02 
3.67963e+00 9.76942e-04 -1.73926e+02 
3.68963e+00 9.69559e-04 -1.73904e+02 
3.69963e+00 9.62238e-04 -1.73882e+02 
3.70963e+00 9.54978e-04 -1.73860e+02 
3.71963e+00 9.47778e-04 -1.73838e+02 
3.72963e+00 9.40638e-04 -1.73816e+02 
3.73963e+00 9.33556e-04 -1.73793e+02 
3.74963e+00 9.26533e-04 -1.73770e+02 
3.75962e+00 9.19568e-04 -1.73747e+02 
3.76962e+00 9.12660e-04 -1.73724e+02 
3.77962e+00 9.05808e-04 -1.73701e+02 
3.78962e+00 8.99012e-04 -1.73678e+02 
3.79962e+00 8.92272e-04 -1.73654e+02 
3.80962e+00 8.85586e-04 -1.73630e+02 
3.81962e+00 8.78954e-04 -1.73607e+02 
3.82962e+00 8.72375e-04 -1.73583e+02 
3.83962e+00 8.65849e-04 -1.73558e+02 
3.84962e+00 8.59376e-04 -1.73534e+02 
3.85961e+00 8.52954e-04 -1.73509e+02 
3.86961e+00 8.46584e-04 -1.73485e+02 
3.87961e+00 8.40264e-04 -1.73460e+02 
3.88961e+00 8.33994e-04 -1.73435e+02 
3.89961e+00 8.27774e-04 -1.73410e+02 
3.90961e+00 8.21603e-04 -1.73384e+02 
3.91961e+00 8.15481e-04 -1.73358e+02 
3.92961e+00 8.09406e-04 -1.73333e+02 
3.93961e+00 8.03379e-04 -1.73307e+02 
3.94961e+00 7.97399e-04 -1.73281e+02 
3.95960e+00 7.91466e-04 -1.73254e+02 
3.96960e+00 7.85578e-04 -1.73228e+02 
3.97960e+00 7.79737e-04 -1.73201e+02 
3.98960e+00 7.73940e-04 -1.73174e+02 
3.99960e+00 7.68188e-04 -1.73147e+02 
4.00960e+00 7.62480e-04 -1.73120e+02 
4.01960e+00 7.56816e-04 -1.73092e+02 
4.02960e+00 7.51195e-04 -1.73065e+02 
4.03960e+00 7.45617e-04 -1.73037e+02 
4.04960e+00 7.40082e-04 -1.73009e+02 
4.05959e+00 7.34588e-04 -1.72981e+02 
4.06959e+00 7.29137e-04 -1.72952e+02 
4.07959e+00 7.23726e-04 -1.72923e+02 
4.08959e+00 7.18356e-04 -1.72895e+02 
4.09959e+00 7.13026e-04 -1.72866e+02 
4.10959e+00 7.07736e-04 -1.72836e+02 
4.11959e+00 7.02486e-04 -1.72807e+02 
4.12959e+00 6.97275e-04 -1.72777e+02 
4.13959e+00 6.92102e-04 -1.72747e+02 
4.14959e+00 6.86968e-04 -1.72717e+02 
4.15958e+00 6.81872e-04 -1.72687e+02 
4.16958e+00 6.76814e-04 -1.72656e+02 
4.17958e+00 6.71793e-04 -1.72625e+02 
4.18958e+00 6.66808e-04 -1.72594e+02 
4.19958e+00 6.61861e-04 -1.72563e+02 
4.20958e+00 6.56949e-04 -1.72531e+02 
4.21958e+00 6.52073e-04 -1.72500e+02 
4.22958e+00 6.47233e-04 -1.72468e+02 
4.23958e+00 6.42428e-04 -1.72436e+02 
4.24958e+00 6.37657e-04 -1.72403e+02 
4.25957e+00 6.32922e-04 -1.72370e+02 
4.26957e+00 6.28220e-04 -1.72338e+02 
4.27957e+00 6.23552e-04 -1.72304e+02 
4.28957e+00 6.18917e-04 -1.72271e+02 
4.29957e+00 6.14316e-04 -1.72237e+02 
4.30957e+00 6.09747e-04 -1.72203e+02 
4.31957e+00 6.05211e-04 -1.72169e+02 
4.32957e+00 6.00708e-04 -1.72135e+02 
4.33957e+00 5.96236e-04 -1.72100e+02 
4.34957e+00 5.91796e-04 -1.72065e+02 
4.35956e+00 5.87387e-04 -1.72030e+02 
4.36956e+00 5.83009e-04 -1.71994e+02 
4.37956e+00 5.78662e-04 -1.71959e+02 
4.38956e+00 5.74345e-04 -1.71923e+02 
4.39956e+00 5.70059e-04 -1.71886e+02 
4.40956e+00 5.65803e-04 -1.71850e+02 
4.41956e+00 5.61576e-04 -1.71813e+02 
4.42956e+00 5.57378e-04 -1.71776e+02 
4.43956e+00 5.53210e-04 -1.71738e+02 
4.44956e+00 5.49070e-04 -1.71700e+02 
4.45955e+00 5.44959e-04 -1.71662e+02 
4.46955e+00 5.40877e-04 -1.71624e+02 
4.47955e+00 5.36822e-04 -1.71585e+02 
4.48955e+00 5.32795e-04 -1.71546e+02 
4.49955e+00 5.28796e-04 -1.71507e+02 
4.50955e+00 5.24824e-04 -1.71468e+02 
4.51955e+00 5.20879e-04 -1.71428e+02 
4.52955e+00 5.16961e-04 -1.71388e+02 
4.53955e+00 5.13070e-04 -1.71347e+02 
4.54955e+00 5.09204e-04 -1.71306e+02 
4.55954e+00 5.05365e-04 -1.71265e+02 
4.56954e+00 5.01552e-04 -1.71223e+02 
4.57954e+00 4.97765e-04 -1.71181e+02 
4.58954e+00 4.94002e-04 -1.71139e+02 
4.59954e+00 4.90265e-04 -1.71097e+02 
4.60954e+00 4.86553e-04 -1.71054e+02 
4.61954e+00 4.82866e-04 -1.71011e+02 
4.62954e+00 4.79204e-04 -1.70967e+02 
4.63954e+00 4.75565e-04 -1.70923e+02 
4.64954e+00 4.71951e-04 -1.70879e+02 
4.65953e+00 4.68361e-04 -1.70834e+02 
4.66953e+00 4.64794e-04 -1.70789e+02 
4.67953e+00 4.61251e-04 -1.70743e+02 
4.68953e+00 4.57731e-04 -1.70697e+02 
4.69953e+00 4.54234e-04 -1.70651e+02 
4.70953e+00 4.50761e-04 -1.70604e+02 
4.71953e+00 4.47309e-04 -1.70557e+02 
4.72953e+00 4.43881e-04 -1.70510e+02 
4.73953e+00 4.40475e-04 -1.70462e+02 
4.74953e+00 4.37090e-04 -1.70414e+02 
4.75953e+00 4.33728e-04 -1.70365e+02 
4.76952e+00 4.30388e-04 -1.70316e+02 
4.77952e+00 4.27069e-04 -1.70266e+02 
4.78952e+00 4.23772e-04 -1.70216e+02 
4.79952e+00 4.20495e-04 -1.70166e+02 
4.80952e+00 4.17240e-04 -1.70115e+02 
4.81952e+00 4.14006e-04 -1.70064e+02 
4.82952e+00 4.10792e-04 -1.70012e+02 
4.83952e+00 4.07599e-04 -1.69960e+02 
4.84952e+00 4.04426e-04 -1.69907e+02 
4.85951e+00 4.01274e-04 -1.69854e+02 
4.86951e+00 3.98141e-04 -1.69800e+02 
4.87951e+00 3.95029e-04 -1.69746e+02 
4.88951e+00 3.91936e-04 -1.69691e+02 
4.89951e+00 3.88863e-04 -1.69636e+02 
4.90951e+00 3.85809e-04 -1.69580e+02 
4.91951e+00 3.82774e-04 -1.69524e+02 
4.92951e+00 3.79758e-04 -1.69467e+02 
